date_part,new_diy_flag,agent_id,created,saved,sent,downloaded,psm_detail,psm_review,checkout,bookings
2026-08-18,0,HES8307,5,4,1,3,1,1,0,0
2026-08-18,0,hes6101,4,3,0,2,3,1,0,0
2026-08-18,0,HES2339,1,1,0,1,,,0,0
2026-08-18,0,FRA00303,2,2,0,2,,,0,0
2026-08-18,0,fraccuesplanade1,1,1,0,1,,,0,0
2026-08-18,1,hes8355,2,2,0,2,1,,0,0
2026-08-18,0,hes7614,10,10,9,1,3,3,0,0
2026-08-18,0,HES4166,16,12,2,10,1,,0,0
2026-08-18,0,hes7857,7,6,0,6,,,0,0
2026-08-18,0,HES6592,3,3,3,0,1,,0,0
2026-08-18,0,hes8024,3,3,3,0,2,,0,0
2026-08-18,0,hes9090,4,3,0,3,,,0,0
2026-08-18,0,HES1196,2,2,0,2,,,0,0
2026-08-18,0,hes7492,1,1,0,1,,,0,0
2026-08-18,0,hes8713,4,4,2,1,1,,0,0
2026-08-18,1,hes8813,1,1,0,1,,,0,0
2026-08-18,1,hes5526,1,1,1,0,1,,0,0
2026-08-18,1,HES8091,4,4,0,4,1,,0,0
2026-08-18,0,HES4118,3,3,2,0,2,,0,0
2026-08-18,0,hes7521,2,2,2,0,1,,0,0
2026-08-18,0,HES5173,10,10,10,0,4,,0,0
2026-08-18,1,hes6881,1,1,1,0,1,,0,0
2026-08-18,0,hes7953,7,6,3,3,,,0,0
2026-08-18,0,hes6893,8,8,1,7,,,0,0
2026-08-18,0,rmdn7065,15,13,3,9,7,,0,0
2026-08-18,0,hes5132,13,11,10,0,6,,0,0
2026-08-18,1,HES2389,1,1,1,0,1,,0,0
2026-08-18,0,fraludhiana1,15,10,9,1,5,,0,0
2026-08-18,0,hes6931,5,5,1,3,1,,0,0
2026-08-18,0,framohali1,9,8,4,4,1,,0,0
2026-08-18,0,fra00300,8,8,0,8,,,0,0
2026-08-18,0,hes7489,1,1,1,0,1,,0,0
2026-08-18,0,hes8425,1,1,1,0,,,0,0
2026-08-18,0,hes6038,2,1,0,1,,,0,0
2026-08-18,0,hes5098,9,9,9,0,2,,0,0
2026-08-18,0,rmdn1726,15,15,7,5,6,3,0,0
2026-08-18,0,fra00285,3,3,1,2,,,0,0
2026-08-18,0,frakotagumanpura1,8,8,4,3,,,0,0
2026-08-18,0,flm0004,1,1,0,1,,,0,0
2026-08-18,0,hes6557,1,1,0,1,,,0,0
2026-08-18,0,HES5804,25,20,4,13,1,,0,0
2026-08-18,0,HES4769,3,2,0,2,,,0,0
2026-08-18,1,hes7773,2,2,2,0,2,,0,0
2026-08-18,1,hes8554,1,1,0,1,,,0,0
2026-08-18,1,hes9120,1,1,1,0,1,,0,0
